Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,131.600006,131.789993,130.259995,130.860001,126.319023,1889100
2021-12-07,132.389999,134.279999,131.940002,134.009995,129.359695,3090900
2021-12-08,134.270004,135.929993,133.750000,135.559998,130.855942,1807400
2021-12-09,134.979996,135.419998,133.869995,134.600006,129.929245,2095500
2021-12-10,135.199997,135.979996,134.330002,135.539993,130.836624,1742500
2021-12-13,135.589996,136.179993,135.009995,135.580002,130.875244,2716300
2021-12-14,134.820007,135.000000,131.919998,133.809998,129.166641,2806100
2021-12-15,134.080002,135.259995,133.039993,135.119995,130.431198,1692300
2021-12-16,135.440002,136.729996,135.029999,135.990005,131.592392,2603100
2021-12-17,135.580002,135.619995,133.199997,133.380005,129.066818,4208000
2021-12-20,132.169998,132.770004,130.889999,132.559998,128.273331,1516400
2021-12-21,133.380005,134.259995,132.559998,134.059998,129.724838,1713500
2021-12-22,133.899994,135.339996,133.369995,135.240005,130.866653,1083500
2021-12-23,135.600006,136.619995,135.360001,135.839996,131.447235,1212300
2021-12-27,135.850006,137.830002,135.850006,137.750000,133.295471,852800
2021-12-28,137.800003,138.240005,137.410004,137.630005,133.179367,1033500
2021-12-29,137.960007,138.460007,137.130005,137.240005,132.802002,946100
2021-12-30,137.380005,137.990005,136.679993,136.779999,132.356842,758000
2021-12-31,136.479996,137.429993,136.479996,136.770004,132.347183,856900
2022-01-03,136.529999,136.699997,133.179993,133.949997,129.618378,1792000
2022-01-04,134.220001,134.809998,132.630005,134.070007,129.734482,1857200
2022-01-05,134.330002,134.839996,132.300003,132.389999,128.108795,1846800
2022-01-06,132.660004,133.410004,131.389999,133.160004,128.853912,2205700
2022-01-07,133.240005,133.830002,131.539993,133.250000,128.941010,1962200
2022-01-10,132.259995,132.729996,130.449997,131.500000,127.247574,2510200
2022-01-11,131.529999,132.059998,129.289993,131.949997,127.683052,2479700
2022-01-12,132.229996,133.899994,132.009995,133.479996,129.163544,2156300
2022-01-13,133.880005,134.110001,129.229996,129.559998,125.370308,1893800
2022-01-14,128.580002,128.639999,125.629997,126.599998,122.506042,3628600
2022-01-18,125.559998,127.010002,124.260002,126.379997,122.293159,3195400
2022-01-19,126.870003,128.309998,125.809998,125.809998,121.741592,2549700
2022-01-20,126.480003,128.029999,125.860001,126.120003,122.041573,2744800
2022-01-21,126.199997,127.440002,125.400002,125.639999,121.577087,4442300
